case_id,prediction_date,project_type,project_category,project_value_crore,project_length_km,project_priority,executing_agency,state,district,urban_rural,land_area_acres,required_area_acres,land_type,land_use,land_value_lakh,circle_rate_lakh,parcel_accessibility,distance_to_project_km,number_of_owners,number_of_coowners,number_of_legal_heirs,joint_ownership,ownership_conflict,mutation_pending,title_clarity,encumbrance_flag,existing_legal_case,number_of_legal_cases,case_age_days,court_level,stay_order,injunction_status,objection_filed,compensation_dispute,land_record_available,title_document_available,mutation_status,survey_completed,ownership_verified,missing_document_count,document_conflict,estimated_compensation_lakh,approved_compensation_lakh,compensation_paid_lakh,compensation_pending,number_of_beneficiaries,bank_account_verified,notification_issued,pending_approval_count,department_count,interdepartmental_dependencies,file_movement_count,days_at_current_stage,total_file_age_days,families_affected,rr_applicable,rr_package_approved,rr_payment_status,number_of_objections,public_hearing_status,community_resistance,delayed,delay_days,delay_reason
LA000011,2025-07-24,Power Transmission,National Infrastructure,105.44,6.37,Medium,NHAI,Tamil Nadu,Tiruchirappalli,Semi-Urban,4.02,3.13,Agricultural,Commercial,284.99,231.99,Moderate,3.85,2,1,4,1,0,0,High,0,0,0,0,None,0,0,1,0,1,1,Completed,1,1,1,0,222.34,225.67,177.23,1,4,1,1,3,2,0,7,38,176,6,1,0,Not Started,5,Scheduled,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000012,2025-06-19,Metro,State Infrastructure,43.31,13.71,Medium,NHAI,Punjab,Ludhiana,Rural,8.16,7.39,Residential,Commercial,229.94,223.67,High,0.75,1,0,3,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,460.32,391.58,,1,2,1,0,1,2,1,3,38,141,1,0,0,Not Applicable,3,Re-hearing Required,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000013,2025-01-18,Industrial Corridor,State Infrastructure,177.69,12.11,Medium,Urban Development Authority,Odisha,Ganjam,Urban,5.66,4.29,Agricultural,Agriculture,277.83,254.64,High,4.06,4,3,3,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,338.02,322.63,246.48,1,5,1,1,2,2,0,6,72,212,6,1,1,Payment Pending,2,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000014,2022-01-02,Highway,National Infrastructure,354.09,31.2,High,Metro Corporation,Odisha,Cuttack,Urban,6.83,6.32,Commercial,Residential,160.46,,Low,2.11,2,1,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,144.14,138.39,14.39,1,3,0,1,1,6,1,6,10,124,3,0,0,Not Applicable,3,Completed,Low,1,31,COMPENSATION
LA000015,2023-01-06,Airport,State Infrastructure,266.66,13.66,Medium,Power Utility,West Bengal,Howrah,Rural,4.29,1.64,Mixed,Mixed,212.49,171.69,Low,1.27,1,0,2,0,0,1,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,2,1,286.93,278.24,7.12,1,2,1,1,3,4,0,7,71,197,2,0,0,Not Applicable,1,Scheduled,Low,1,263,ADMINISTRATIVE_APPROVAL
LA000016,2023-01-29,Airport,National Infrastructure,529.39,43.67,Medium,State Irrigation Dept,Odisha,Ganjam,Rural,1.81,1.28,Government,Commercial,49.1,37.43,Moderate,1.78,6,5,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,63.11,59.35,13.49,1,6,0,1,3,4,0,6,70,218,2,0,0,Not Applicable,3,Completed,Low,1,285,ADMINISTRATIVE_APPROVAL
LA000017,2024-11-21,Highway,State Infrastructure,186.29,17.48,High,Power Utility,Tamil Nadu,Salem,Rural,0.95,0.7,Agricultural,Commercial,56.99,52.44,High,1.6,1,0,2,0,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,1,0,45.54,43.49,27.55,1,3,1,1,0,1,1,0,28,115,1,0,0,Not Applicable,4,Re-hearing Required,Low,0,0,INTER_DEPARTMENT
LA000018,2025-02-19,Highway,State Infrastructure,364.39,19.01,High,Metro Corporation,Maharashtra,Nashik,Semi-Urban,1.74,1.64,Industrial,Agriculture,61.06,62.27,Low,0.21,2,1,1,1,0,0,High,0,1,1,808,District Court,0,0,0,0,1,1,Completed,1,1,1,0,70.81,60.14,29.88,1,3,1,1,0,3,0,7,10,68,2,0,0,Not Applicable,2,Completed,Low,0,0,LEGAL_DISPUTE
LA000019,2024-08-29,Metro,State Infrastructure,164.97,5.92,High,Metro Corporation,Jharkhand,Dhanbad,Urban,2.2,2.06,Industrial,Mixed,89.14,87.59,Low,2.49,3,2,0,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,3,0,131.26,128.63,5.09,1,6,1,0,0,4,2,3,48,108,3,0,0,Not Applicable,0,Not Required,Low,0,0,INTER_DEPARTMENT
LA000020,2024-04-24,Metro,State Infrastructure,120.06,46.25,Medium,Urban Development Authority,Karnataka,Belagavi,Urban,2.15,0.8,Residential,Industrial,94.01,73.27,High,4.28,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,135.21,109.03,54.99,1,1,1,1,0,4,1,2,25,37,3,0,0,Not Applicable,2,Completed,Low,1,118,COMPENSATION
LA000021,2025-08-19,Canal,State Infrastructure,41.14,15.65,Medium,State Irrigation Dept,Tamil Nadu,Salem,Rural,4.0,3.67,Residential,Industrial,135.89,116.01,High,1.24,3,2,0,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,188.58,150.97,136.29,1,3,1,1,1,2,0,6,30,116,3,0,0,Not Applicable,2,Re-hearing Required,Low,0,0,LAND_RECORD
LA000022,2022-06-27,Highway,State Infrastructure,421.74,19.08,Medium,State PWD,Bihar,Patna,Rural,16.95,8.66,Industrial,Agriculture,524.84,525.8,High,0.01,1,0,1,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,0,1,0,0,949.05,864.53,682.73,1,2,1,1,1,6,1,3,21,63,3,0,0,Not Applicable,4,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000023,2023-12-26,Highway,Regional Infrastructure,348.65,6.34,Medium,Metro Corporation,Rajasthan,Jaipur,Rural,6.85,4.98,Commercial,Residential,346.76,326.61,High,0.12,3,2,0,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,1,1,460.82,412.71,115.01,1,4,1,1,0,2,0,5,84,106,3,0,0,Not Applicable,0,Not Required,Low,0,0,DOCUMENTATION
LA000024,2022-04-04,Urban Infrastructure,National Infrastructure,68.76,23.84,High,NHAI,Haryana,Faridabad,Rural,3.11,1.38,Mixed,Institutional,138.26,121.07,Moderate,0.1,2,1,0,1,0,0,High,0,0,0,0,None,0,0,0,1,1,1,Completed,1,1,1,0,75.34,77.3,22.44,1,3,1,1,0,2,2,2,60,104,3,0,0,Not Applicable,1,Completed,Low,0,0,COMPENSATION
LA000025,2025-09-14,Highway,State Infrastructure,127.6,47.15,High,Urban Development Authority,Odisha,Puri,Urban,1.63,1.51,Residential,Residential,133.43,119.52,High,1.91,4,3,2,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,50.17,40.8,29.91,1,5,1,0,1,2,0,4,72,148,2,0,0,Not Applicable,3,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000026,2022-03-16,Urban Infrastructure,National Infrastructure,35.65,5.24,Medium,State Irrigation Dept,Andhra Pradesh,Nellore,Rural,3.71,1.95,Agricultural,Commercial,204.59,191.71,High,0.9,4,3,1,1,0,0,High,0,0,0,0,None,0,0,1,0,1,1,Completed,1,1,0,0,158.65,151.83,133.35,1,5,1,1,1,2,0,5,36,122,0,0,0,Not Applicable,6,Re-hearing Required,Low,0,0,COMPENSATION
LA000027,2022-03-14,Power Transmission,State Infrastructure,73.02,24.08,Critical,Metro Corporation,Karnataka,Mysuru,Rural,8.12,4.52,Industrial,Commercial,513.36,495.76,Low,0.1,2,1,4,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,0,0,227.2,232.47,93.4,1,3,0,1,2,1,1,6,24,378,4,0,0,Not Applicable,1,Completed,Low,1,175,ADMINISTRATIVE_APPROVAL
LA000028,2024-04-19,Canal,National Infrastructure,66.47,18.98,High,Metro Corporation,Jharkhand,Bokaro,Rural,14.31,6.55,Commercial,Residential,334.35,321.88,High,8.36,5,4,1,1,0,0,High,0,0,0,0,None,0,0,0,1,1,1,Completed,1,1,1,0,351.94,327.31,109.0,1,5,1,1,0,3,1,3,14,64,4,0,0,Not Applicable,3,Re-hearing Required,Low,0,0,COMPENSATION
LA000029,2024-03-22,Railway,State Infrastructure,114.48,16.72,Critical,Urban Development Authority,Telangana,Nizamabad,Urban,1.42,0.85,Mixed,Institutional,79.11,82.63,Moderate,0.99,2,1,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,2,0,86.41,81.63,76.96,1,3,1,0,3,2,2,10,30,286,5,0,0,Not Applicable,4,Re-hearing Required,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000030,2025-02-15,Industrial Corridor,National Infrastructure,504.58,5.77,Medium,State Irrigation Dept,Karnataka,Belagavi,Semi-Urban,9.35,5.39,Industrial,Commercial,332.52,297.75,High,1.16,3,2,2,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,537.54,430.95,204.37,1,5,1,1,3,3,1,6,33,200,3,0,0,Not Applicable,0,Not Required,Low,1,154,ADMINISTRATIVE_APPROVAL
LA000031,2022-12-08,Urban Infrastructure,State Infrastructure,98.67,22.03,Normal,Indian Railways,Karnataka,Tumakuru,Semi-Urban,2.51,1.48,Government,Industrial,185.78,150.77,Moderate,1.45,3,2,3,1,1,0,High,0,0,0,0,None,0,0,0,1,1,0,Pending,1,0,2,1,115.69,117.02,,0,6,1,1,0,2,3,2,16,179,2,0,0,Not Applicable,2,Completed,Low,1,265,OWNERSHIP_CONFLICT
LA000032,2023-07-26,Power Transmission,State Infrastructure,395.94,18.87,High,Metro Corporation,Madhya Pradesh,Ujjain,Rural,2.51,2.03,Industrial,Institutional,110.48,99.03,Low,0.02,4,3,1,1,1,0,High,1,1,2,767,District Court,0,0,0,0,0,1,Pending,1,0,2,0,166.11,158.83,106.91,1,4,1,1,0,1,3,4,79,134,2,0,0,Not Applicable,6,Completed,Moderate,1,268,INTER_DEPARTMENT
LA000033,2022-01-18,Power Transmission,National Infrastructure,174.5,17.94,Medium,NHAI,Maharashtra,Aurangabad,Semi-Urban,2.74,1.55,Residential,Mixed,138.69,144.61,High,0.09,3,2,3,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,88.48,84.45,34.36,1,3,1,1,0,2,0,3,1,174,3,0,0,Not Applicable,0,Not Required,Low,0,0,COMPENSATION
LA000034,2024-01-10,Metro,Regional Infrastructure,62.91,11.41,Normal,Power Utility,Telangana,Warangal,Urban,5.49,4.77,Industrial,Commercial,401.85,415.1,Moderate,2.03,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,0,0,343.56,326.68,245.77,1,1,0,1,0,3,2,2,45,106,5,0,0,Not Applicable,4,Scheduled,Low,1,135,ADMINISTRATIVE_APPROVAL
LA000035,2023-02-24,Highway,National Infrastructure,72.55,12.13,Medium,State Irrigation Dept,Haryana,Faridabad,Urban,2.67,1.49,Industrial,Institutional,215.4,182.23,Moderate,0.86,1,0,1,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,173.3,153.24,45.64,1,2,0,1,0,3,1,4,30,119,6,1,0,Not Started,1,Scheduled,Low,1,199,RR
LA000036,2022-04-04,Urban Infrastructure,National Infrastructure,60.36,37.87,Critical,Metro Corporation,Uttar Pradesh,Varanasi,Rural,5.96,4.24,Agricultural,Industrial,435.6,337.74,Moderate,1.11,2,1,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,0,0,150.08,127.32,106.9,1,2,1,1,1,3,0,8,23,161,8,1,1,Payment Pending,4,Re-hearing Required,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000037,2022-03-26,Highway,State Infrastructure,168.83,32.99,Normal,Power Utility,Jharkhand,Jamshedpur,Rural,4.41,3.31,Agricultural,Agriculture,152.96,150.35,High,0.82,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,0,0,1,Pending,1,0,1,0,131.54,108.58,35.09,1,1,1,1,1,3,2,2,124,311,1,0,0,Not Applicable,4,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000038,2022-02-17,Metro,National Infrastructure,18.6,32.82,High,NHAI,Jharkhand,Ranchi,Semi-Urban,4.05,2.28,Industrial,Commercial,81.23,84.37,Low,1.6,2,1,3,1,1,0,High,0,0,0,0,None,0,0,1,0,0,1,Pending,1,0,0,0,115.75,113.51,68.65,1,2,1,1,1,3,0,2,27,101,3,0,0,Not Applicable,8,Completed,Low,0,0,OWNERSHIP_CONFLICT
LA000039,2023-08-23,Railway,State Infrastructure,426.63,3.47,Normal,NHAI,Gujarat,Rajkot,Rural,3.66,3.08,Government,Mixed,,270.08,Low,0.21,3,2,3,1,0,0,High,0,0,0,0,None,0,0,1,0,1,1,Under Verification,0,0,1,0,222.37,179.08,6.67,1,5,1,1,1,2,0,3,35,153,3,0,0,Not Applicable,4,Scheduled,Low,0,0,DOCUMENTATION
LA000040,2023-05-05,Power Transmission,National Infrastructure,137.02,7.49,High,NHAI,Andhra Pradesh,Visakhapatnam,Urban,2.94,1.57,Government,Residential,241.22,221.79,High,0.52,1,0,3,0,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Pending,1,0,1,0,119.78,103.13,94.21,1,1,1,1,2,3,1,7,28,161,3,0,0,Not Applicable,0,Not Required,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000041,2024-07-14,Power Transmission,State Infrastructure,171.11,40.6,Normal,Metro Corporation,Rajasthan,Alwar,Rural,2.06,1.39,Commercial,Industrial,38.89,32.73,High,1.17,2,1,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,72.43,73.14,1.45,1,3,1,1,0,3,1,5,10,84,1,0,0,Not Applicable,4,Scheduled,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000042,2024-10-31,Canal,State Infrastructure,304.19,11.3,Normal,NHAI,Odisha,Ganjam,Semi-Urban,10.94,9.02,Industrial,Commercial,424.46,382.6,High,1.03,3,2,2,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Completed,1,1,2,0,654.81,,1.44,1,6,0,1,0,3,0,2,9,43,3,0,0,Not Applicable,5,Completed,Low,0,0,COMPENSATION
LA000043,2023-12-14,Highway,State Infrastructure,382.31,16.58,Medium,Indian Railways,West Bengal,Kolkata,Semi-Urban,2.2,1.14,Residential,Commercial,146.92,150.87,High,1.95,3,2,2,1,0,0,High,0,0,0,0,None,0,0,0,1,1,1,Completed,1,1,0,0,140.73,132.9,14.49,1,5,1,1,2,3,2,7,83,291,0,0,0,Not Applicable,2,Re-hearing Required,Low,1,324,ADMINISTRATIVE_APPROVAL
LA000044,2024-08-11,Highway,National Infrastructure,188.12,14.44,Medium,Urban Development Authority,Bihar,Nalanda,Rural,6.24,3.83,Industrial,Industrial,266.67,243.3,High,2.8,1,0,0,0,0,0,High,0,0,0,0,None,0,0,1,0,1,1,Pending,1,0,1,0,175.97,180.08,18.43,1,1,0,0,0,1,3,1,57,145,2,0,0,Not Applicable,4,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000045,2024-08-31,Highway,National Infrastructure,369.8,26.17,Normal,Indian Railways,Maharashtra,Thane,Semi-Urban,10.47,8.17,Agricultural,Institutional,211.96,162.31,High,1.74,5,4,1,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Completed,0,1,1,0,348.17,354.05,49.66,1,6,1,1,0,4,0,3,12,20,3,0,0,Not Applicable,5,Completed,Low,1,71,COMPENSATION
LA000046,2025-10-08,Urban Infrastructure,State Infrastructure,81.95,30.66,High,Urban Development Authority,Punjab,Jalandhar,Urban,3.55,2.21,Residential,Agriculture,223.82,174.81,Low,0.45,2,1,0,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,2,1,144.94,142.3,30.26,1,2,1,1,2,3,2,5,45,173,4,0,0,Not Applicable,0,Not Required,Low,1,212,ADMINISTRATIVE_APPROVAL
LA000047,2023-05-23,Highway,National Infrastructure,305.46,19.72,Medium,Power Utility,Karnataka,Mysuru,Urban,4.01,2.32,Residential,Institutional,304.7,260.6,High,3.27,1,0,2,0,0,0,High,0,1,3,109,District Court,0,0,0,0,1,1,Completed,1,1,1,0,114.39,109.2,34.66,1,1,1,1,0,2,0,2,53,153,8,1,0,In Progress,1,Scheduled,Low,1,194,LEGAL_DISPUTE
LA000048,2024-12-14,Urban Infrastructure,State Infrastructure,64.01,8.66,Medium,State PWD,Haryana,Panipat,Rural,1.31,0.72,Agricultural,Industrial,43.98,46.11,High,0.21,2,1,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,60.04,55.83,,1,2,1,1,1,7,0,3,24,91,0,0,0,Not Applicable,3,Completed,Low,1,172,COMPENSATION
LA000049,2022-12-19,Highway,Regional Infrastructure,296.28,20.71,High,Power Utility,West Bengal,Bardhaman,Rural,1.08,0.93,Agricultural,Mixed,55.14,56.78,Low,1.84,4,3,2,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,1,0,48.75,42.88,23.41,1,4,1,1,2,4,1,7,43,138,0,0,0,Not Applicable,4,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000050,2024-01-27,Industrial Corridor,Regional Infrastructure,248.39,2.97,Critical,State Irrigation Dept,Odisha,Ganjam,Semi-Urban,0.94,0.36,Industrial,Commercial,73.4,74.02,High,2.09,4,3,3,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Completed,1,1,2,0,20.61,17.87,11.98,1,4,1,1,1,3,0,3,45,143,2,0,0,Not Applicable,3,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000051,2023-11-24,Airport,National Infrastructure,394.51,17.68,Medium,State Irrigation Dept,Odisha,Puri,Rural,3.53,2.07,Industrial,Industrial,105.45,84.32,Moderate,1.34,5,4,3,1,0,0,High,0,0,0,0,None,0,0,0,0,1,0,Completed,1,0,1,0,138.32,130.31,88.54,1,6,1,1,3,2,1,5,39,187,1,0,0,Not Applicable,3,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000052,2023-09-04,Industrial Corridor,Regional Infrastructure,32.51,13.93,Medium,NHAI,Rajasthan,Ajmer,Rural,1.62,0.92,Agricultural,Institutional,69.58,64.6,High,0.3,3,2,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,64.88,53.76,41.65,1,3,1,1,1,5,2,6,58,112,1,0,0,Not Applicable,4,Scheduled,Low,1,220,INTER_DEPARTMENT
LA000053,2022-06-11,Canal,State Infrastructure,331.42,5.94,Medium,NHAI,Bihar,Gaya,Urban,1.95,1.39,Agricultural,Residential,61.26,52.55,Low,0.61,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,1,0,1,Completed,1,0,0,0,67.07,63.26,46.05,1,1,1,1,2,3,2,7,29,149,6,1,0,Not Started,0,Not Required,Low,1,223,ADMINISTRATIVE_APPROVAL
LA000054,2022-10-21,Power Transmission,Regional Infrastructure,186.74,11.87,High,State Irrigation Dept,Tamil Nadu,Madurai,Semi-Urban,3.63,3.23,Industrial,Industrial,288.78,223.16,Moderate,0.19,3,2,2,1,1,0,Low,0,0,0,0,None,0,0,0,1,1,1,Pending,1,0,0,0,190.07,161.93,25.79,1,4,0,1,0,1,2,7,34,64,6,1,0,In Progress,3,Completed,Low,0,0,COMPENSATION
LA000055,2023-07-18,Power Transmission,Regional Infrastructure,145.43,5.06,Critical,State PWD,Tamil Nadu,Salem,Urban,4.13,3.22,Agricultural,Residential,245.22,238.49,Moderate,1.35,3,2,2,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,123.26,121.11,62.63,1,3,1,1,1,5,1,6,38,77,5,0,0,Not Applicable,2,Re-hearing Required,Low,1,96,COMPENSATION
LA000056,2024-05-21,Highway,National Infrastructure,110.77,13.35,Medium,Metro Corporation,Uttar Pradesh,Agra,Rural,2.06,1.48,Industrial,Mixed,55.5,51.23,Moderate,1.38,2,1,1,1,0,1,Moderate,0,0,0,0,None,0,0,0,1,1,1,Pending,1,0,0,0,48.63,41.03,7.09,1,5,1,0,2,4,1,9,46,186,3,0,0,Not Applicable,1,Completed,Low,0,0,COMPENSATION
LA000057,2023-11-13,Urban Infrastructure,Regional Infrastructure,124.54,3.74,Medium,State Irrigation Dept,Telangana,Warangal,Urban,4.09,3.46,Government,Commercial,328.59,336.78,High,5.08,6,5,2,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,2,0,133.47,118.15,50.52,1,7,1,1,3,2,3,3,46,211,7,1,0,Not Started,2,,Low,1,290,ADMINISTRATIVE_APPROVAL
LA000058,2025-07-28,Canal,National Infrastructure,943.4,13.54,High,Metro Corporation,Rajasthan,Ajmer,Rural,1.34,1.07,Industrial,Commercial,42.18,37.44,Moderate,0.88,1,0,0,0,0,0,High,0,1,2,1653,District Court,0,0,0,0,1,1,Completed,1,1,0,0,44.39,38.78,22.36,1,2,0,1,1,3,0,7,36,115,3,0,0,Not Applicable,5,Completed,Low,0,0,LEGAL_DISPUTE
LA000059,2022-07-30,Highway,National Infrastructure,131.78,9.32,High,State PWD,Odisha,Cuttack,Rural,1.06,0.77,Industrial,Agriculture,86.1,76.38,Moderate,0.22,4,3,1,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,1,1,71.05,62.06,42.53,1,4,0,1,0,3,2,1,28,154,5,0,0,Not Applicable,3,Scheduled,Low,0,0,INTER_DEPARTMENT
LA000060,2023-11-27,Railway,National Infrastructure,208.33,7.54,Critical,NHAI,West Bengal,Hooghly,Urban,2.5,2.2,Government,Mixed,95.96,98.37,Low,0.97,4,3,2,1,0,0,High,1,1,1,1344,High Court,0,0,0,0,1,1,Completed,1,1,0,0,172.15,158.29,0.12,1,5,1,1,2,3,0,9,25,170,4,0,0,Not Applicable,2,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
